word,result,identical
показатели оценки эффективности проекта,показатели оценки эффективности проекта,True
управление стоимостью it- проекта,управление стоимостью it- проекта,True
оценка хода проекта,оценка хода проекта,True
финансового анализа,финансового анализа,True
it-проекта,it-проект,False
анализа моделей систем,анализ моделей систем,False
оценки характеристик систем,оценки характеристик систем,True
многомерная системная аналитика,многомерная системная аналитика,True
предсказательная аналитика,предсказательная аналитика,True
недоопределенное моделирование,недоопределенное моделирование,True
основе знания,основе знания,True
применение модели,применение модели,True
заре робототехники,заре робототехники,True
разработчик робота,разработчик робота,True
connext dds,connext dds,True
способы эмуляции робота,способы эмуляции робота,True
rti connext,rti connext,True
задачу управления,задачу управления ,False
инфраструктуру управления,инфраструктура управления,False
передачи сообщений,передачи сообщений,True
проблем управления,проблем управления,True
методологией agile,методологией agile,True
стратегии управления,стратегии управления,True
оценка трудоёмкости выполнения задачи,оценка трудоёмкости выполнения задачи,True
алгоритмов теории управления,алгоритмов теории управления,True
анализа методов управления,анализа методов управления,True
недостатки управления,недостатки управления,True
применения алгоритмов управления,применения алгоритмов управления  ,False
системы управления движением робота,системы управления движением робота,True
вычислений траектории движения,вычислений траектории движения,True
управления автономными,управление автономными,False
методы построения пути,методы построения пути,True
методы визуализации карты,методы визуализации карты,True
применение алгоритмов slam,применение алгоритмов slam,True
беспилотного транспорта,беспилотного транспорта,True
методы определения,методы определения,True
назначение ros,назначение ros,True
взаимодействия процессов,взаимодействия процессов,True
изучение принципов,изучение принципов,True
знания принципов построения,знания принципов построения  ,False
системах,системах,True
основных принципов,основных принципов,True
способы достижения непротиворечивости данных,способы достижения непротиворечивости данных,True
модели непротиворечивости данных,модели непротиворечивости данных,True
способы использования имен,способы использования имен,True
планирования действий,планирование действий,False
системах искусственного,системах искусственного,True
сравнение методов обучения,сравнение методов обучения,True
системы чпу,ipсистемы чпу,False
обеспечения систем чпу,обеспечения систем чпу,True
перспективы развития систем чпу,перспективы развития систем чпу,True
состояние систем чпу,состояние систем чпу,True
числовых систем управления,числовых систем управления,True
классификацию устройств чпу,классификацию устройств чпу,True
обеспечение роботов чпу,обеспечение роботов чпу,True
характеристик систем управления,характеристик систем управления  ,False
систем класса сnc,систем класса сnc,True
систем класса nc,систем класса nc,True
прочих числовых систем,прочих числовых систем,True
систем промышленных,систем промышленных,True
принцип объединения изображений,принцип объединения изображений,True
методов обработки,методов обработки,True
автоматической обработке,автоматической обработке,True
синтез изображений,синтез изображений,True
визуализация изображений,визуализация изображений,True
межкадровой разности изображений,межкадровой разности изображений,True
группы методов нахождения векторов движения,группы методов нахождения векторов движения,True
навыков решения задач видеоаналитики,навыков решения задач видеоаналитики,True
результатом решения задачи кластеризации,результатом решения задачи кластеризации  ,False
методы поиска минимума функций,методы поиска минимума функций,True
организации ит-служб,организации ит-служб,True
организации ит-аудита,организации ит-аудита - ,False
информационных технологий предприятия,информационные технологии предприятия,False
модель содержания деятельности консультанта,модель содержания деятельности консультанта,True
области создания,области создания,True
модель ролей консультанта,модель ролей консультанта  ,False
методиками организации,методиками организации,True
меморандум профессии консультанта,меморандум профессии консультанта,True
формирования стоимости услуг,формирование стоимости услуг,False
оценка результатов консультирования,оценка результатов консультирования,True
свод знаний консультанта,свод знаний консультанта,True
уровня зрелости процессов управления ит,уровень зрелости процессов управления ит,False
востребованность профессии консультанта,востребованность профессии консультанта,True
организация управления процессом внедрения,организация управления процессом внедрения,True
сфере it- консалтинга,сфере it- консалтинга,True
нужна очистка данных,нужна очистка данных,True
подготовки данных,подготовки данных  ,False
дополнение данных,дополнение данных,True
семействам плис фирмы,семействам плис фирмы,True
фильтр изменение частоты дискретизации сигнала,фильтр изменение частоты дискретизации сигнала,True
data preparation,data preparation,True
контексте решения задач,контексте решения задач,True
языка asp,язык asp,False
программирования asp,программирования asp,True
использованием asp,использование asp,False
особенностях применения языка программирования наборов ответов,особенности применения языка программирования наборов ответов,False
asp - средство обработки знаний,asp - средство обработки знаний,True
основы программирования наборов ответов,основы программирования наборов ответов,True
платформы разработки иа,платформы разработки иа,True
использованием технологий иа,использованием технологий иа,True
методологии разработки иа,методологии разработки иа,True
основе иа,основе иа,True
архитектуры иа,архитектура иа,False
формальные модели иа,формальные модели иа,True
приложения иа,приложения иа,True
технологиями иа,технологиями иа,True
fipa,fipa,True
агентной платформы,агентной платформы,True
агентов,агентов,True
средства построения иа,средства построения иа,True
классификация сред функционирования иа,классификация сред функционирования иа,True
проверки работоспособности иа,проверки работоспособности иа,True
обработки графов знаний,обработки графов знаний,True
