,word,large_without_trash
89,оценка хода проекта,оценка хода проекта
90,финансового анализа,финансовый анализ
91,it-проекта,it-проект
92,анализа моделей систем,анализ моделей систем
93,оценки характеристик систем,оценки характеристик систем
94,многомерная системная аналитика,многомерная системная аналитика
95,предсказательная аналитика,предсказательная аналитика
96,недоопределенное моделирование,недоопределенное моделирование
97,основе знания,основе знания
98,применение модели,применение модели
99,заре робототехники,критерий робототехники
100,разработчик робота,
101,connext dds,connext
102,способы эмуляции робота,
103,rti connext,qt connext
104,задачу управления,задачу управления 
105,инфраструктуру управления,инфраструктура управления
106,передачи сообщений,передачи сообщений
107,проблем управления,проблем управления
108,методологией agile,
109,стратегии управления,стратегии управления  стратегии управления
110,оценка трудоёмкости выполнения задачи,оценка трудоёмкости выполнения задачи
111,алгоритмов теории управления,алгоритмов теории управления  алгоритмы теории управления
112,анализа методов управления,анализ методов управления  анализ методов управления
113,недостатки управления,недостатки управления
114,применения алгоритмов управления,применения алгоритмов управления  
115,системы управления движением робота,системы управления движением робота
116,вычислений траектории движения,вычислений траектории движения
117,управления автономными,управление автономными
118,методы построения пути,методы построения пути
119,методы визуализации карты,методы визуализации карты
120,применение алгоритмов slam,
121,беспилотного транспорта,беспилотного транспорта
122,методы определения,методы определения
123,назначение ros,методы поиска  назначение ros
124,взаимодействия процессов,взаимодействия процессов
125,изучение принципов,изучение принципов
126,знания принципов построения,знания принципов построения  
127,системах,системах
128,основных принципов,основных принципов разработки  
129,способы достижения непротиворечивости данных,методы достижения непротиворечивости данных
130,модели непротиворечивости данных,модели непротиворечивости данных
131,способы использования имен,методы использования имен
132,планирования действий,планирование действий
133,системах искусственного,системах искусственного
134,сравнение методов обучения,сравнение методов обучения
135,системы чпу,ipсистемы чпу
136,обеспечения систем чпу,обеспечения систем чпу
137,перспективы развития систем чпу,прогнозирование развития систем чпу
138,состояние систем чпу,состояние систем чпу
139,числовых систем управления,математические методы  числовые системы управления
140,классификацию устройств чпу,классификацию устройств чпу
141,обеспечение роботов чпу,обеспечение роботов чпу
142,характеристик систем управления,характеристик систем управления  
143,систем класса сnc,
144,систем класса nc,системный блок  системный блок
145,прочих числовых систем,практические навыки разработки
146,систем промышленных,системные блоки  
147,принцип объединения изображений,принцип объединения изображений
148,методов обработки,методов обработки
149,автоматической обработке,автоматическая обработка
150,синтез изображений,синтез изображений
151,визуализация изображений,визуализация изображений
152,межкадровой разности изображений,критерий Фишера
153,группы методов нахождения векторов движения,группы методов нахождения векторов движения
154,навыков решения задач видеоаналитики,практические навыки разработки
155,результатом решения задачи кластеризации,результатом решения задачи кластеризации  
156,методы поиска минимума функций,методы поиска минимума функций
157,организации ит-служб,организации ит-служб
158,организации ит-аудита,организации ит-аудита - 
159,информационных технологий предприятия,информационные технологии предприятия
160,модель содержания деятельности консультанта,модель содержания деятельности консультанта
161,области создания,области создания
162,модель ролей консультанта,модель ролей консультанта  
163,методиками организации,методы организации
164,меморандум профессии консультанта,методы сбора эмпирических данных  методы сбора эмпи
165,формирования стоимости услуг,формирование стоимости услуг
166,оценка результатов консультирования,оценка результатов консультирования
167,свод знаний консультанта,
168,уровня зрелости процессов управления ит,уровень зрелости процессов управления ит
169,востребованность профессии консультанта,востребованность профессии консультанта
170,организация управления процессом внедрения,организация управления процессом внедрения
171,сфере it- консалтинга,
172,нужна очистка данных,нужна очистка данных
173,подготовки данных,подготовки данных  
174,дополнение данных,дополнение данных
175,семействам плис фирмы,семействам плис фирмы
176,фильтр изменение частоты дискретизации сигнала,фильтр изменение частоты дискретизации сигнала
177,data preparation,data preparation
178,контексте решения задач,контексте решения задач
179,языка asp,язык asp
180,программирования asp,
181,использованием asp,использование asp
182,особенностях применения языка программирования наборов ответов,особенности применения языка программирования наборов ответов
183,asp - средство обработки знаний,asp
184,основы программирования наборов ответов,основы программирования наборов ответов
185,платформы разработки иа,iptables  плагины для ipt
186,использованием технологий иа,io
187,методологии разработки иа,
188,основе иа,основе иа
189,архитектуры иа,архитектура иа
190,формальные модели иа,формальные модели иа
191,приложения иа,io приложения иа
192,технологиями иа,ia технологиями иа
193,fipa,ipa
194,агентной платформы,агентная платформа
195,агентов,агентов
196,средства построения иа,
197,классификация сред функционирования иа,классификация сред функционирования иа
198,проверки работоспособности иа,проверки работоспособности иа
199,обработки графов знаний,обработки графов знаний
